Call ID,Customer ID,Agent ID,Call Date,Call Time,Call Transcript,Classification
3,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","This conversation is a **Complaint/Query**. 

Here's why:

* **Complaint:** The customer is clearly upset about the missing cable and feels the company is responsible for providing it. He expresses frustration and anger (""Why have you guys been putting my hands on cable?"", ""Don't tell me that it's really cable"").
* **Query:** The customer is also trying to understand the situation and get a solution. He asks questions about the cable, the price, and the possibility of getting a replacement (""Could you take our design a bus and verify with the sensor on order?"", ""If you want your thing already one from us, we'll keep you within 24 hours""). 

The conversation is a mix of the customer expressing their dissatisfaction and seeking clarification and resolution. 
"
4,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","This conversation is a **Complaint/Query**. 

Here's why:

* **Complaint:** The customer is clearly upset about the missing cable and feels the company is responsible for providing it. He expresses frustration and anger (""Why have you guys been putting my hands on cable?"", ""Don't tell me that it's really cable"").
* **Query:** The customer is also trying to understand the situation and get a solution. He asks questions about the cable, the price, and the possibility of getting a replacement (""Could you take our design a bus and verify with the sensor on order?"", ""If you want your thing already one from us, we'll keep you within 24 hours""). 

The conversation is a mix of the customer expressing their dissatisfaction and seeking clarification and resolution. 
"
1006,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
102,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
2001,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
1006,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
102,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
1006,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
102,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
124,,,,," Hello, you can speak to the customer for a second. Yeah, this is because they're not supporting. I get a lot to ask the President of the United States. I'm sorry to hear that. Could you tell me your name or please? How do I have your name? Yes. It's ATK. Zero-way zero-four-nine for the name. Okay. Just let me verify that these are the number match we've brought to you place. Okay. Thank you for waiting Mr. Pandit. Now, can you tell me what the problem is? Well, I couldn't get to the elders, but in that arena. Okay, sir. Just to rule out responsibility, may I ask you if other devices are working properly in that room? Yeah, they are. Could you please remove the battery and then we can connect it once more time. And I appreciate if you can connect it into another elevator. Okay, sir. I totally understand your situation. And I will feel this end, but please calm down, stop yelling me. I'll entertain you what I could do for you. Okay? Yeah, yeah. We usually stand our project with an extra cable. Could you take our design a bus and verify with the sensor on order? And then they're paid. But they're not as paid when it's the bus. Okay, let me see. Oh, sorry sir. Mind the fact. Current to my system. They as a cable was not included. Why have you guys been putting my hands on cable? I'm sorry sir, but this is specific item. Was I at this camera the long-year purchasing? As a result, we didn't do this for a cable so that we could apply it this price on the device. Think of trying you first stuff you want me to. But it's very tailored of totally calm down. Don't tell me that it's really cable. If you want your thing already one from us, we'll keep you within 24 hours. No, I don't need to do it guys. Thanks anyway. Thirdly, your bus, I won't just quite your feedback. My school provides her. Yeah, yeah, all right, right now. How many of this?","Complaint/Query 
"
